,raw,filled,clean
2025-01-29,238.5133056640625,238.5133056640625,238.5133056640625
2025-01-30,236.7495574951172,236.7495574951172,236.7495574951172
2025-01-31,235.16519165039062,235.16519165039062,235.16519165039062
2025-02-03,227.2034454345703,227.2034454345703,227.2034454345703
2025-02-04,231.97650146484375,231.97650146484375,231.97650146484375
2025-02-05,231.64767456054688,231.64767456054688,231.64767456054688
2025-02-06,232.39501953125,232.39501953125,232.39501953125
2025-02-07,226.82479858398438,226.82479858398438,226.82479858398438
2025-02-10,227.0941162109375,227.0941162109375,227.0941162109375
2025-02-11,232.052001953125,232.052001953125,232.052001953125
2025-02-12,236.29161071777344,236.29161071777344,236.29161071777344
2025-02-13,240.94024658203125,240.94024658203125,240.94024658203125
2025-02-14,244.00274658203125,244.00274658203125,244.00274658203125
2025-02-17,,244.00274658203125,244.00274658203125
2025-02-18,243.87306213378906,243.87306213378906,243.87306213378906
2025-02-19,244.27207946777344,244.27207946777344,244.27207946777344
2025-02-20,245.229736328125,245.229736328125,245.229736328125
2025-02-21,244.95042419433594,244.95042419433594,244.95042419433594
2025-02-24,246.49664306640625,246.49664306640625,246.49664306640625
2025-02-25,246.43678283691406,246.43678283691406,246.43678283691406
2025-02-26,239.77308654785156,239.77308654785156,239.77308654785156
2025-02-27,236.72056579589844,236.72056579589844,236.72056579589844
2025-02-28,241.24948120117188,241.24948120117188,241.24948120117188
2025-03-03,237.4487762451172,237.4487762451172,237.4487762451172
2025-03-04,235.35391235351562,235.35391235351562,235.35391235351562
2025-03-05,235.1643829345703,235.1643829345703,235.1643829345703
2025-03-06,234.75538635253906,234.75538635253906,234.75538635253906
2025-03-07,238.4862518310547,238.4862518310547,238.4862518310547
2025-03-10,226.92454528808594,226.92454528808594,226.92454528808594
2025-03-11,220.30076599121094,220.30076599121094,220.30076599121094
2025-03-12,216.45018005371094,216.45018005371094,216.45018005371094
2025-03-13,209.1680145263672,209.1680145263672,209.1680145263672
2025-03-14,212.96871948242188,212.96871948242188,212.96871948242188
2025-03-17,213.4774627685547,213.4774627685547,213.4774627685547
2025-03-18,212.170654296875,212.170654296875,212.170654296875
2025-03-19,214.7144317626953,214.7144317626953,214.7144317626953
2025-03-20,213.5772247314453,213.5772247314453,213.5772247314453
2025-03-21,217.73703002929688,217.73703002929688,217.73703002929688
2025-03-24,220.19102478027344,220.19102478027344,220.19102478027344
2025-03-25,223.2036590576172,223.2036590576172,223.2036590576172
2025-03-26,220.9890594482422,220.9890594482422,220.9890594482422
2025-03-27,223.30340576171875,223.30340576171875,223.30340576171875
2025-03-28,217.36793518066406,217.36793518066406,217.36793518066406
2025-03-31,221.58761596679688,221.58761596679688,221.58761596679688
2025-04-01,222.64501953125,222.64501953125,222.64501953125
2025-04-02,223.3433074951172,223.3433074951172,223.3433074951172
2025-04-03,202.69386291503906,202.69386291503906,202.69386291503906
2025-04-04,187.92002868652344,187.92002868652344,187.92002868652344
2025-04-07,181.0169219970703,181.0169219970703,181.0169219970703
2025-04-08,171.99899291992188,171.99899291992188,171.99899291992188
2025-04-09,198.3644561767578,198.3644561767578,198.3644561767578
2025-04-10,189.95504760742188,189.95504760742188,189.95504760742188
2025-04-11,197.66615295410156,197.66615295410156,197.66615295410156
2025-04-14,202.02549743652344,202.02549743652344,202.02549743652344
2025-04-15,201.64642333984375,201.64642333984375,201.64642333984375
2025-04-16,193.79563903808594,193.79563903808594,193.79563903808594
2025-04-17,196.4990234375,196.4990234375,196.4990234375
2025-04-18,,196.4990234375,196.4990234375
